-,-,-
-927, -9, 47
-924, -30, 98
-918, -60, 82
-917, -69, 37
-904, -66, 37
-904, -66, 37
-866, -62, 70
-859, -29, 64
-842, 11, 42
-837, 15, 77
-837, 15, 77
-857, 2, 108
-879, 12, 96
-873, 74, 86
-873, 74, 86
-872, 74, 106
-882, 12, 147
-931, 32, 150
-970, 83, 130
-960, 60, 152
-960, 60, 152
-966, 26, 180
-1007, 35, 178
-1032, 65, 162
-1032, 46, 183
-1026, -4, 226
-1032, -40, 264
-1032, -40, 264
-1060, -5, 251
-1047, 43, 235
-989, 70, 264
-975, 80, 301
-984, 71, 300
-992, 52, 292
-992, 52, 292
-977, 23, 296
-975, 34, 278
-978, 100, 236
-977, 150, 234
-998, 128, 282
-1025, 87, 348
-1025, 87, 348
-1090, 75, 352
-1144, 94, 319
-1141, 103, 313
-1103, 76, 351
-1089, 46, 404
-1111, 46, 367
-1164, 77, 290
-1164, 77, 290
-1204, 83, 281
-1257, 44, 324
-1355, 12, 344
-1436, 13, 349
-1454, 16, 373
-1447, 23, 396
-1404, 52, 406
-1404, 52, 406
-1342, 74, 429
-1274, 81, 434
-1202, 89, 399
-1137, 89, 343
-1081, 68, 280
-1042, 38, 246
-1011, 37, 217
-982, 31, 227
-982, 31, 227
-963, 18, 220
-945, 14, 186
-924, 26, 156
-921, 7, 149
-921, 7, 149
-956, -31, 155
-960, -33, 132
-950, -6, 130
-931, 12, 125
-935, -13, 146
-935, -13, 146
-952, -5, 145
-954, 14, 128
-952, -3, 112
-950, -16, 85
-947, -28, 60
-947, -28, 60
-931, -56, 53
-926, -83, 50
-927, -109, 48
-931, -120, 30
-,-,-
-895, -89, -14
-890, -83, -17
-910, -114, 5
-924, -137, 29
-931, -149, 72
-931, -149, 72
-913, -113, 121
-909, -60, 164
-875, -59, 198
-856, -53, 223
-863, 3, 218
-856, 26, 222
-856, 26, 222
-859, -8, 249
-902, -34, 251
-948, 1, 220
-948, 20, 211
-948, -10, 231
-948, -10, 231
-963, -54, 254
-961, -6, 252
-947, 67, 221
-939, 61, 208
-941, -5, 248
-941, -5, 248
-968, -9, 263
-982, 35, 246
-972, 43, 253
-975, 14, 281
-987, -22, 309
-987, -22, 309
-979, 0, 305
-954, 60, 273
-928, 77, 290
-935, 65, 331
-975, 59, 361
-975, 59, 361
-991, 70, 343
-1000, 97, 322
-1006, 95, 346
-1033, 60, 406
-1099, 49, 401
-1168, 79, 361
-1168, 79, 361
-1210, 78, 365
-1274, 24, 409
-1368, -18, 427
-1437, -28, 413
-1458, -27, 408
-1458, -30, 414
-1431, -18, 421
-1388, 0, 426
-1327, 10, 430
-1327, 10, 430
-1267, 19, 422
-1221, 30, 407
-1179, 48, 391
-1141, 42, 375
-1112, 31, 358
-1080, 32, 321
-1058, 14, 285
-1058, 14, 285
-1042, 0, 269
-1018, 11, 265
-1005, 37, 268
-989, 35, 267
-982, 22, 247
-977, 13, 205
-977, 13, 205
-973, 2, 185
-950, 11, 180
-941, 31, 178
-944, 44, 193
-944, 44, 193
-945, 37, 203
-941, 31, 201
-942, 51, 173
-929, 48, 171
-940, 0, 200
-940, 0, 200
-936, 2, 176
-921, 18, 144
-910, -4, 122
-910, -4, 122
-906, -29, 110
-893, -12, 87
-864, 0, 70
-841, -18, 71
-835, -38, 75
-835, -38, 75
-823, -24, 66
-805, -27, 58
-801, -51, 37
-799, -70, 26
-,-,-
-923, -4, 84
-922, -43, 111
-961, 3, 142
-947, 36, 172
-947, 36, 172
-973, 23, 178
-996, 9, 195
-1001, 2, 202
-999, 43, 199
-999, 43, 199
-995, 81, 251
-1008, 57, 296
-1043, -10, 307
-1080, -16, 270
-1061, 62, 259
-1009, 89, 277
-995, 27, 274
-995, 27, 274
-1005, -20, 250
-1015, 8, 239
-1004, 76, 284
-973, 155, 315
-958, 152, 336
-993, 108, 310
-1037, 99, 274
-1037, 99, 274
-1043, 141, 257
-1004, 186, 312
-1008, 170, 377
-1077, 103, 368
-1167, 63, 313
-1219, 67, 311
-1266, 62, 355
-1328, 47, 394
-1395, 49, 406
-1395, 49, 406
-1451, 54, 404
-1471, 48, 419
-1469, 51, 422
-1442, 74, 417
-1395, 96, 408
-1348, 102, 395
-1300, 97, 384
-1300, 97, 384
-1239, 89, 365
-1180, 93, 316
-1122, 111, 277
-1077, 87, 258
-1038, 64, 224
-1000, 74, 212
-963, 99, 197
-963, 99, 197
-945, 88, 203
-922, 70, 231
-888, 110, 226
-867, 131, 214
-869, 111, 184
-882, 72, 167
-882, 72, 167
-907, 55, 170
-907, 61, 189
-906, 79, 201
-922, 86, 213
-932, 72, 201
-932, 72, 201
-927, 55, 190
-917, 52, 180
-907, 49, 139
-903, 28, 81
-903, 28, 81
-891, -15, 54
-883, -59, 83
-,-,-
-909, -3, 110
-909, -3, 110
-969, -31, 146
-1009, -26, 116
-985, -6, 148
-948, -26, 193
-900, -62, 234
-883, -37, 248
-883, -37, 248
-899, 28, 221
-918, 66, 190
-929, 62, 208
-939, 46, 231
-959, 30, 257
-959, 30, 257
-977, 36, 285
-1004, 65, 257
-1008, 56, 234
-1028, 5, 255
-1041, -20, 280
-1047, -1, 270
-1047, -1, 270
-1012, 66, 246
-978, 77, 286
-998, 51, 329
-1016, 40, 347
-1024, 62, 308
-997, 117, 265
-997, 117, 265
-961, 147, 301
-971, 102, 389
-1022, 70, 403
-1040, 124, 344
-1010, 182, 328
-1007, 160, 387
-1038, 130, 447
-1080, 163, 444
-1101, 177, 423
-1142, 122, 424
-1219, 50, 444
-1219, 50, 444
-1282, 24, 456
-1329, 32, 452
-1370, 6, 444
-1401, -4, 451
-1389, 40, 446
-1349, 61, 447
-1349, 61, 447
-1313, 56, 442
-1279, 67, 445
-1234, 97, 443
-1200, 103, 437
-1179, 89, 407
-1160, 70, 358
-1131, 49, 335
-1111, 14, 320
-1111, 14, 320
-1082, 29, 297
-1045, 65, 281
-1024, 61, 279
-1021, 26, 319
-992, 63, 343
-958, 123, 334
-926, 121, 309
-926, 121, 309
-904, 84, 298
-887, 91, 247
-889, 110, 199
-890, 73, 199
-901, 3, 178
-901, 3, 178
-883, -32, 129
-857, -35, 86
-835, -17, 44
-,-,-
-830, 30, -47
-855, 34, -4
-923, 41, -4
-923, 41, -4
-954, 39, 3
-964, -19, 62
-1006, -17, 101
-1023, 56, 117
-1023, 56, 117
-1011, 75, 150
-1025, 13, 211
-1049, 2, 226
-1048, 51, 224
-1029, 67, 235
-1020, 9, 275
-1034, -48, 301
-1034, -48, 301
-1036, -51, 270
-1020, 5, 219
-998, 41, 216
-1000, 22, 236
-979, 0, 256
-936, -7, 298
-936, -7, 298
-937, 51, 263
-970, 100, 237
-1028, 62, 267
-1071, 5, 294
-1095, 24, 321
-1067, 68, 325
-1067, 68, 325
-1052, 93, 328
-1062, 74, 316
-1077, 40, 308
-1063, 62, 315
-1049, 113, 315
-1061, 116, 313
-1138, 78, 335
-1212, 50, 360
-1212, 50, 360
-1265, 45, 373
-1327, 30, 397
-1369, 21, 412
-1376, 44, 427
-1385, 69, 444
-1381, 77, 449
-1348, 67, 448
-1348, 67, 448
-1315, 64, 439
-1275, 84, 427
-1228, 107, 432
-1189, 98, 412
-1159, 84, 374
-1121, 83, 345
-1080, 77, 304
-1039, 42, 267
-1039, 42, 267
-1020, 10, 284
-999, 26, 260
-969, 45, 230
-957, 22, 204
-955, -2, 184
-955, -2, 184
-960, -14, 213
-943, 11, 249
-931, 53, 259
-910, 89, 231
-887, 59, 209
-887, 59, 209
-889, 13, 174
-891, 17, 141
-892, 20, 123
-896, -28, 127
-933, -75, 134
-933, -75, 134
-,-,-
-892, 22, 66
-843, 58, 125
-855, 59, 126
-855, 59, 126
-852, 52, 114
-856, 44, 140
-881, 19, 141
-883, -24, 145
-914, -19, 137
-914, -19, 137
-940, 25, 101
-951, 2, 138
-963, -42, 193
-1003, -5, 170
-1025, 70, 117
-1011, 75, 129
-1011, 75, 129
-1004, 14, 184
-1009, -27, 180
-1017, -19, 156
-1010, 6, 167
-999, -22, 213
-991, -50, 240
-964, -20, 216
-936, 37, 214
-936, 37, 214
-936, 92, 231
-960, 90, 278
-987, 70, 313
-1004, 75, 326
-1043, 131, 309
-1043, 131, 309
-1088, 147, 344
-1121, 113, 385
-1123, 93, 412
-1113, 111, 446
-1111, 115, 475
-1115, 119, 465
-1128, 129, 450
-1167, 133, 420
-1230, 97, 411
-1297, 70, 426
-1343, 72, 420
-1343, 72, 420
-1363, 98, 412
-1370, 109, 420
-1369, 92, 445
-1350, 97, 458
-1298, 123, 464
-1242, 139, 455
-1207, 143, 435
-1207, 130, 411
-1194, 96, 399
-1194, 96, 399
-1168, 73, 384
-1126, 82, 360
-1081, 106, 313
-1035, 96, 267
-1003, 73, 233
-978, 81, 189
-956, 94, 156
-956, 94, 156
-946, 49, 176
-941, 27, 175
-918, 72, 152
-894, 102, 155
-885, 87, 177
-885, 87, 177
-887, 88, 202
-868, 122, 204
-855, 130, 197
-851, 116, 177
-861, 97, 145
-856, 78, 121
-,-,-
-889, -30, 60
-915, -46, 22
-948, -38, 80
-914, -62, 153
-915, -65, 209
-930, -21, 206
-930, -21, 206
-930, 4, 221
-925, -20, 278
-937, -21, 270
-972, 29, 225
-992, 36, 214
-1003, 1, 225
-1003, 1, 225
-1010, -48, 246
-1032, -34, 209
-1040, 16, 176
-1027, 24, 194
-1014, -25, 254
-1019, -40, 265
-1052, 9, 215
-1052, 9, 215
-1066, 44, 184
-1063, 22, 228
-1069, -29, 298
-1068, -19, 305
-1064, 46, 275
-1043, 116, 258
-1021, 143, 275
-1046, 139, 294
-1083, 105, 324
-1090, 76, 342
-1090, 76, 342
-1057, 90, 349
-1023, 140, 365
-1015, 124, 390
-1035, 50, 420
-1064, 11, 409
-1079, 12, 386
-1087, 27, 384
-1118, 16, 399
-1118, 16, 399
-1179, -20, 401
-1245, -18, 390
-1286, 6, 393
-1305, 17, 410
-1335, 14, 425
-1343, 19, 446
-1317, 30, 473
-1317, 30, 473
-1278, 46, 492
-1256, 78, 468
-1244, 103, 423
-1223, 93, 401
-1195, 62, 377
-1179, 41, 338
-1169, 46, 307
-1141, 73, 315
-1141, 73, 315
-1120, 64, 305
-1105, 65, 260
-1068, 71, 212
-1033, 42, 192
-1011, 24, 170
-984, 41, 136
-947, 37, 137
-947, 37, 137
-909, 32, 147
-885, 58, 108
-,-,-
-902, 0, 33
-902, 0, 33
-960, 37, -12
-1004, 14, -7
-1050, -47, 58
-1050, -47, 58
-1107, -100, 127
-1117, -119, 179
-1094, -58, 161
-1075, 28, 152
-1063, 46, 178
-1067, -10, 237
-1072, -65, 290
-1072, -46, 284
-1070, 3, 265
-1070, 13, 271
-1070, 13, 271
-1053, -25, 304
-1005, -54, 313
-972, -32, 292
-1005, 34, 234
-1030, 60, 216
-1026, 53, 245
-1026, 35, 288
-1017, 32, 306
-1017, 32, 306
-1008, 52, 304
-1000, 59, 310
-1031, 43, 328
-1095, 33, 331
-1117, 41, 327
-1124, 55, 332
-1152, 33, 381
-1187, 8, 380
-1187, 8, 380
-1212, -15, 367
-1221, -38, 356
-1249, -26, 348
-1280, 20, 315
-1315, 61, 306
-1368, 35, 319
-1410, 26, 335
-1410, 26, 335
-1405, 48, 361
-1384, 64, 389
-1378, 63, 374
-1364, 55, 383
-1334, 40, 384
-1286, 30, 354
-1224, 41, 319
-1224, 41, 319
-1173, 58, 279
-1114, 62, 237
-1053, 37, 203
-1005, 37, 165
-948, 68, 141
-909, 65, 177
-937, 25, 241
-937, 25, 241
-945, 38, 265
